metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
reasoning_token_count_p95,103.50,24.75,86.00,121.00,0.2391,17.5000,-118.86,325.86,12.7062,tokens
http_req_connecting_std,0.20,0.01,0.19,0.20,0.0396,0.0056,0.13,0.27,12.7062,ms
effective_total_throughput_p50,430.77,0.19,430.64,430.90,0.0004,0.1321,429.09,432.45,12.7062,tokens/sec
effective_prefill_throughput_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec
effective_prefill_throughput_per_user_p95,4020.59,103.52,3947.39,4093.79,0.0257,73.2000,3090.50,4950.69,12.7062,tokens/sec/user
http_req_chunks_sent_sum,242.00,2.83,240.00,244.00,0.0117,2.0000,216.59,267.41,12.7062,count
effective_latency_p5,4970.11,0.90,4969.48,4970.75,0.0002,0.6342,4962.06,4978.17,12.7062,ms
http_req_chunks_sent_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,count
time_to_first_output_token_avg,595.34,38.19,568.33,622.34,0.0642,27.0051,252.20,938.47,12.7062,ms
active_total_throughput_p99,16777.33,91.70,16712.49,16842.18,0.0055,64.8448,15953.40,17601.26,12.7062,tokens/sec
time_to_second_token_p90,8.58,0.07,8.53,8.63,0.0083,0.0506,7.93,9.22,12.7062,ms
osl_mismatch_diff_pct_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
effective_total_throughput_std,3482.97,8.09,3477.25,3488.70,0.0023,5.7217,3410.27,3555.67,12.7062,tokens/sec
time_to_first_output_token_p75,635.23,30.59,613.60,656.86,0.0482,21.6303,360.39,910.07,12.7062,ms
effective_prefill_concurrency_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,requests
usage_reasoning_tokens_p25,19.38,1.94,18.00,20.75,0.1004,1.3750,1.90,36.85,12.7062,tokens
active_total_throughput_p95,4298.52,214.95,4146.52,4450.52,0.0500,151.9955,2367.23,6229.81,12.7062,tokens/sec
http_req_total_p50,4995.21,1.39,4994.22,4996.19,0.0003,0.9809,4982.74,5007.67,12.7062,ms
effective_prefill_throughput_per_user_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec/user
usage_total_tokens_p5,1548.00,0.00,1548.00,1548.00,0.0000,0.0000,1548.00,1548.00,12.7062,tokens
http_req_blocked_max,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
usage_prompt_tokens_p99,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
decode_duration_p99,4798.03,14.67,4787.66,4808.41,0.0031,10.3762,4666.19,4929.88,12.7062,ms
request_latency_p5,4968.67,0.94,4968.01,4969.34,0.0002,0.6656,4960.21,4977.13,12.7062,ms
http_req_total_p25,4981.07,0.82,4980.49,4981.66,0.0002,0.5825,4973.67,4988.48,12.7062,ms
effective_prefill_concurrency_std,0.89,0.03,0.87,0.91,0.0360,0.0227,0.60,1.18,12.7062,requests
time_to_first_output_token_min,247.49,2.53,245.70,249.27,0.0102,1.7867,224.78,270.19,12.7062,ms
http_req_chunks_received_max,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,count
usage_prompt_tokens_p95,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
http_req_total_sum,1212988.99,8829.81,1206745.37,1219232.61,0.0073,6243.6185,1133656.30,1292321.69,12.7062,ms
decode_duration_p95,4776.17,3.78,4773.50,4778.84,0.0008,2.6704,4742.24,4810.10,12.7062,ms
output_sequence_length_max,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_data_sent_p1,4.09,0.00,4.09,4.09,0.0000,0.0000,4.09,4.09,12.7062,KB
http_req_total_std,140.15,170.46,19.62,260.68,1.2162,120.5302,-1391.33,1671.63,12.7062,ms
decode_duration_p10,4723.72,3.76,4721.06,4726.38,0.0008,2.6584,4689.94,4757.50,12.7062,ms
active_total_throughput_p90,433.38,0.15,433.27,433.48,0.0003,0.1026,432.07,434.68,12.7062,tokens/sec
http_req_connecting_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_sending_p5,0.09,0.00,0.09,0.09,0.0223,0.0014,0.07,0.10,12.7062,ms
active_decode_throughput_per_user_p90,110.49,0.11,110.42,110.57,0.0010,0.0755,109.54,111.45,12.7062,tokens/sec/user
prefill_throughput_per_user_p10,4058.47,71.91,4007.63,4109.32,0.0177,50.8487,3412.38,4704.57,12.7062,tokens/sec/user
http_req_waiting_p1,241.67,2.43,239.95,243.39,0.0100,1.7164,219.86,263.48,12.7062,ms
http_req_chunks_sent_p1,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
decode_duration_p90,4770.35,2.04,4768.91,4771.80,0.0004,1.4420,4752.03,4788.68,12.7062,ms
prefill_throughput_per_user_p90,4230.02,26.47,4211.31,4248.74,0.0063,18.7188,3992.18,4467.87,12.7062,tokens/sec/user
effective_latency_p99,6034.24,1397.87,5045.79,7022.69,0.2317,988.4468,-6525.17,18593.65,12.7062,ms
http_req_dns_lookup_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_blocked_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_latency_p95,5029.59,9.05,5023.19,5035.99,0.0018,6.4007,4948.26,5110.92,12.7062,ms
output_token_throughput_per_user_min,106.43,0.41,106.14,106.72,0.0038,0.2890,102.76,110.10,12.7062,tokens/sec/user
effective_latency_p10,4976.40,1.10,4975.62,4977.18,0.0002,0.7810,4966.48,4986.32,12.7062,ms
http_req_chunks_received_p50,511.00,0.00,511.00,511.00,0.0000,0.0000,511.00,511.00,12.7062,count
usage_prompt_cache_read_tokens_max,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_dns_lookup_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
usage_total_tokens_p99,1548.00,0.00,1548.00,1548.00,0.0000,0.0000,1548.00,1548.00,12.7062,tokens
output_sequence_length_p50,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_blocked_sum,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
active_prefill_throughput_avg,15041.97,1163.47,14219.27,15864.66,0.0773,822.6975,4588.60,25495.33,12.7062,tokens/sec
request_latency_p99,6033.06,1398.30,5044.32,7021.81,0.2318,988.7447,-6530.13,18596.26,12.7062,ms
http_req_blocked_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
time_to_first_token_p25,245.78,1.48,244.74,246.82,0.0060,1.0432,232.53,259.04,12.7062,ms
effective_decode_throughput_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec
time_to_second_token_p25,5.79,0.03,5.77,5.82,0.0058,0.0238,5.49,6.10,12.7062,ms
http_req_duration_p5,4968.62,0.94,4967.96,4969.29,0.0002,0.6668,4960.15,4977.10,12.7062,ms
usage_total_tokens_p95,1548.00,0.00,1548.00,1548.00,0.0000,0.0000,1548.00,1548.00,12.7062,tokens
http_req_chunks_received_sum,123422.00,1462.30,122388.00,124456.00,0.0118,1034.0000,110283.78,136560.22,12.7062,count
usage_total_tokens_p10,1548.00,0.00,1548.00,1548.00,0.0000,0.0000,1548.00,1548.00,12.7062,tokens
request_latency_p95,5028.13,9.06,5021.73,5034.53,0.0018,6.4029,4946.77,5109.49,12.7062,ms
osl_mismatch_count_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,requests
http_req_connecting_avg,0.03,0.00,0.02,0.03,0.0458,0.0008,0.02,0.04,12.7062,ms
output_sequence_length_sum,123904.00,1448.15,122880.00,124928.00,0.0117,1024.0000,110892.85,136915.15,12.7062,tokens
http_req_chunks_received_std,2.42,0.25,2.24,2.60,0.1051,0.1795,0.14,4.70,12.7062,count
request_latency_p10,4974.96,1.10,4974.18,4975.74,0.0002,0.7800,4965.04,4984.87,12.7062,ms
http_req_data_sent_p75,4.61,0.00,4.61,4.61,0.0000,0.0000,4.61,4.61,12.7062,KB
output_sequence_length_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
total_usage_prompt_cache_read_tokens_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_sending_p99,1.81,0.06,1.76,1.85,0.0331,0.0422,1.27,2.34,12.7062,ms
osl_mismatch_diff_pct_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
reasoning_token_count_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_chunks_sent_avg,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
http_req_connection_overhead_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_prefill_throughput_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec
http_req_waiting_p75,250.15,2.51,248.38,251.93,0.0100,1.7764,227.58,272.72,12.7062,ms
http_req_sending_max,1.94,0.03,1.92,1.96,0.0133,0.0182,1.71,2.17,12.7062,ms
http_req_chunks_sent_p75,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
effective_total_throughput_avg,1233.73,5.43,1229.89,1237.58,0.0044,3.8409,1184.93,1282.54,12.7062,tokens/sec
request_latency_p90,5023.39,8.36,5017.48,5029.30,0.0017,5.9121,4948.27,5098.51,12.7062,ms
http_req_data_sent_min,4.04,0.00,4.04,4.04,0.0000,0.0000,4.04,4.04,12.7062,KB
http_req_data_received_p50,130.52,0.01,130.52,130.53,0.0001,0.0066,130.44,130.61,12.7062,KB
osl_mismatch_diff_pct_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
nvidia_energy_delay_product_avg,4497.72,25.88,4479.42,4516.02,0.0058,18.3007,4265.19,4730.25,12.7062,J*s
time_to_first_output_token_p95,1105.12,338.68,865.64,1344.60,0.3065,239.4824,-1937.79,4148.03,12.7062,ms
usage_prompt_cache_read_tokens_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
time_to_first_output_token_p10,253.63,3.00,251.50,255.75,0.0118,2.1210,226.68,280.58,12.7062,ms
http_req_data_received_p25,130.22,0.04,130.19,130.25,0.0003,0.0304,129.83,130.60,12.7062,KB
http_req_waiting_min,240.96,2.64,239.09,242.83,0.0110,1.8690,217.21,264.71,12.7062,ms
http_req_chunks_sent_min,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
http_req_blocked_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
effective_prefill_concurrency_avg,0.21,0.02,0.20,0.22,0.0754,0.0113,0.07,0.36,12.7062,requests
http_req_data_received_sum,31555.83,376.32,31289.73,31821.93,0.0119,266.0977,28174.74,34936.92,12.7062,KB
http_req_total_avg,5012.48,22.10,4996.85,5028.11,0.0044,15.6254,4813.94,5211.02,12.7062,ms
http_req_connection_reused_p75,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,ratio
usage_prompt_cache_read_tokens_sum,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_connecting_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_chunks_received_p1,500.22,4.55,497.00,503.43,0.0091,3.2150,459.36,541.07,12.7062,count
usage_prompt_cache_read_tokens_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
time_to_first_output_token_p90,801.75,50.69,765.91,837.59,0.0632,35.8407,346.35,1257.15,12.7062,ms
output_sequence_length_p1,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_duration_p99,6032.99,1398.25,5044.27,7021.70,0.2318,988.7152,-6529.83,18595.80,12.7062,ms
http_req_chunks_sent_p5,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
http_req_connection_reused_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ratio
http_req_duration_max,6035.15,1401.16,5044.38,7025.92,0.2322,990.7686,-6553.76,18624.06,12.7062,ms
e2e_output_token_throughput_p75,102.79,0.02,102.78,102.80,0.0002,0.0120,102.64,102.94,12.7062,tokens/sec/user
effective_prefill_concurrency_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,requests
nvidia_output_tokens_per_joule_avg,0.57,0.00,0.57,0.57,0.0014,0.0005,0.56,0.58,12.7062,tokens/J
http_req_connection_overhead_p99,2.60,0.11,2.52,2.68,0.0439,0.0807,1.58,3.63,12.7062,ms
reasoning_token_count_p75,43.00,1.41,42.00,44.00,0.0329,1.0000,30.29,55.71,12.7062,tokens
http_req_sending_std,0.22,0.01,0.22,0.23,0.0337,0.0053,0.16,0.29,12.7062,ms
http_req_connection_overhead_max,2.81,0.07,2.76,2.86,0.0244,0.0485,2.20,3.43,12.7062,ms
e2e_output_token_throughput_min,87.19,20.24,72.87,101.50,0.2322,14.3132,-94.68,269.05,12.7062,tokens/sec/user
http_req_total_p5,4968.62,0.94,4967.96,4969.29,0.0002,0.6668,4960.15,4977.10,12.7062,ms
reasoning_token_count_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
http_req_blocked_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
usage_prompt_cache_read_tokens_p1,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
input_sequence_length_max,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
active_prefill_throughput_p99,16993.59,164.78,16877.07,17110.10,0.0097,116.5140,15513.14,18474.04,12.7062,tokens/sec
inter_chunk_latency_p50,9.31,0.00,9.31,9.31,0.0001,0.0010,9.30,9.32,12.7062,ms
effective_decode_concurrency_max,4.00,0.00,4.00,4.00,0.0000,0.0000,4.00,4.00,12.7062,requests
effective_decode_throughput_p90,441.64,0.36,441.38,441.89,0.0008,0.2516,438.44,444.83,12.7062,tokens/sec
http_req_chunks_received_avg,510.01,0.08,509.95,510.07,0.0002,0.0578,509.27,510.74,12.7062,count
output_sequence_length_avg,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
active_prefill_throughput_p95,16853.35,109.86,16775.67,16931.03,0.0065,77.6820,15866.31,17840.39,12.7062,tokens/sec
inter_chunk_latency_p25,9.20,0.00,9.19,9.20,0.0004,0.0024,9.16,9.23,12.7062,ms
http_req_connecting_p99,1.52,0.06,1.48,1.57,0.0410,0.0441,0.96,2.08,12.7062,ms
credit_to_start_latency_max,2.54,0.04,2.51,2.56,0.0151,0.0271,2.19,2.88,12.7062,ms
usage_prompt_tokens_p75,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
inter_chunk_latency_sum,1148613.20,13222.69,1139263.34,1157963.05,0.0115,9349.8543,1029812.03,1267414.36,12.7062,ms
output_sequence_length_p75,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_data_sent_p10,4.35,0.00,4.35,4.35,0.0000,0.0000,4.35,4.35,12.7062,KB
http_req_chunks_sent_p99,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
http_req_connecting_p95,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_connecting_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_duration_sum,1212978.32,8830.19,1206734.43,1219222.21,0.0073,6243.8899,1133642.17,1292314.46,12.7062,ms
effective_total_throughput_p99,16777.33,91.70,16712.49,16842.18,0.0055,64.8448,15953.40,17601.26,12.7062,tokens/sec
http_req_sending_p1,0.08,0.00,0.08,0.08,0.0116,0.0007,0.07,0.09,12.7062,ms
http_req_chunks_sent_p95,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
http_req_duration_std,139.93,170.27,19.53,260.33,1.2169,120.4019,-1389.92,1669.78,12.7062,ms
usage_completion_tokens_p50,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_waiting_p10,244.53,1.69,243.33,245.73,0.0069,1.1984,229.30,259.75,12.7062,ms
usage_prompt_tokens_min,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
decode_duration_min,4705.77,8.39,4699.84,4711.71,0.0018,5.9324,4630.40,4781.15,12.7062,ms
tokens_in_flight_p50,5111.88,4.93,5108.39,5115.36,0.0010,3.4858,5067.59,5156.17,12.7062,tokens
http_req_chunks_sent_p10,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
http_req_data_sent_p90,4.68,0.00,4.68,4.68,0.0000,0.0001,4.68,4.68,12.7062,KB
output_token_count_p50,483.00,0.00,483.00,483.00,0.0000,0.0000,483.00,483.00,12.7062,tokens
effective_total_throughput_p95,4298.52,214.95,4146.52,4450.52,0.0500,151.9955,2367.23,6229.81,12.7062,tokens/sec
usage_completion_tokens_p25,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_blocked_p5,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
http_req_connection_overhead_sum,10.68,0.38,10.41,10.95,0.0359,0.2714,7.23,14.13,12.7062,ms
usage_completion_tokens_sum,123904.00,1448.15,122880.00,124928.00,0.0117,1024.0000,110892.85,136915.15,12.7062,tokens
input_sequence_length_p50,1036.00,0.00,1036.00,1036.00,0.0000,0.0000,1036.00,1036.00,12.7062,tokens
http_req_connection_overhead_std,0.34,0.01,0.33,0.35,0.0414,0.0100,0.21,0.47,12.7062,ms
output_token_count_p25,471.25,2.47,469.50,473.00,0.0053,1.7500,449.01,493.49,12.7062,tokens
usage_completion_tokens_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
effective_decode_concurrency_p50,4.00,0.00,4.00,4.00,0.0000,0.0000,4.00,4.00,12.7062,requests
