metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
http_req_connecting_p10,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
output_token_throughput_per_user_p90,5.58,0.02,5.56,5.60,0.0045,0.0176,5.36,5.81,12.7062,tokens/sec/user
http_req_chunks_received_p10,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,count
output_token_count_p25,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
e2e_output_token_throughput_p25,5.22,0.07,5.17,5.27,0.0141,0.0522,4.56,5.89,12.7062,tokens/sec/user
http_req_waiting_std,979.65,583.32,567.18,1392.12,0.5954,412.4711,-4261.29,6220.59,12.7062,ms
usage_completion_tokens_p95,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
request_latency_p10,96227.16,1027.67,95500.49,96953.83,0.0107,726.6705,86993.93,105460.38,12.7062,ms
time_to_first_token_min,2753.90,109.26,2676.64,2831.16,0.0397,77.2584,1772.24,3735.56,12.7062,ms
usage_completion_tokens_max,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
time_to_first_token_p75,5708.93,2090.15,4230.98,7186.89,0.3661,1477.9574,-13070.30,24488.16,12.7062,ms
active_prefill_throughput_p50,3029.02,893.47,2397.24,3660.80,0.2950,631.7811,-4998.52,11056.56,12.7062,tokens/sec
inter_chunk_latency_p90,191.35,0.52,190.98,191.72,0.0027,0.3685,186.67,196.03,12.7062,ms
usage_completion_tokens_p99,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
time_to_first_token_avg,4460.08,1060.89,3709.92,5210.24,0.2379,750.1626,-5071.64,13991.80,12.7062,ms
time_to_second_token_p5,2.56,1.86,1.24,3.88,0.7280,1.3182,-14.19,19.31,12.7062,ms
http_req_data_sent_p95,4.68,0.00,4.68,4.68,0.0000,0.0000,4.68,4.68,12.7062,KB
http_req_data_sent_max,4.82,0.00,4.82,4.82,0.0000,0.0000,4.82,4.82,12.7062,KB
http_req_total_sum,4660888.25,60089.95,4618398.23,4703378.26,0.0129,42490.0140,4121001.43,5200775.06,12.7062,ms
osl_mismatch_diff_pct_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
prefill_throughput_per_user_std,51.67,6.84,46.83,56.50,0.1323,4.8348,-9.76,113.10,12.7062,tokens/sec/user
http_req_data_sent_p99,4.77,0.00,4.77,4.77,0.0000,0.0000,4.77,4.77,12.7062,KB
http_req_connecting_std,0.72,0.00,0.72,0.72,0.0012,0.0006,0.71,0.73,12.7062,ms
http_req_chunks_received_std,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,count
time_to_second_token_p1,2.54,1.87,1.22,3.86,0.7357,1.3221,-14.26,19.34,12.7062,ms
output_token_throughput_per_user_min,5.41,0.03,5.39,5.43,0.0050,0.0190,5.17,5.65,12.7062,tokens/sec/user
http_req_connection_reused_p25,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ratio
request_latency_std,955.33,334.81,718.58,1192.07,0.3505,236.7455,-2052.81,3963.47,12.7062,ms
effective_decode_throughput_p50,85.79,0.07,85.74,85.84,0.0009,0.0525,85.12,86.46,12.7062,tokens/sec
output_sequence_length_p10,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
output_token_throughput_per_user_avg,5.52,0.01,5.51,5.52,0.0021,0.0082,5.41,5.62,12.7062,tokens/sec/user
active_decode_throughput_p50,86.32,0.15,86.22,86.43,0.0018,0.1079,84.95,87.70,12.7062,tokens/sec
effective_latency_std,955.71,334.00,719.53,1191.88,0.3495,236.1736,-2045.17,3956.58,12.7062,ms
effective_total_throughput_p95,1045.37,1352.55,88.98,2001.77,1.2938,956.3961,-11106.79,13197.54,12.7062,tokens/sec
inter_chunk_latency_min,2.54,1.86,1.22,3.85,0.7352,1.3183,-14.22,19.29,12.7062,ms
http_req_total_p5,96227.05,1027.67,95500.38,96953.73,0.0107,726.6744,86993.78,105460.33,12.7062,ms
inter_chunk_latency_p75,188.59,0.20,188.45,188.73,0.0011,0.1438,186.76,190.42,12.7062,ms
credit_to_start_latency_p25,0.89,0.00,0.89,0.89,0.0002,0.0001,0.89,0.89,12.7062,ms
inter_chunk_latency_avg,181.92,0.38,181.65,182.19,0.0021,0.2689,178.50,185.34,12.7062,ms
usage_completion_tokens_p90,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_sending_p75,1.75,0.02,1.74,1.76,0.0091,0.0113,1.61,1.90,12.7062,ms
decode_duration_p75,92899.67,74.84,92846.76,92952.59,0.0008,52.9174,92227.29,93572.05,12.7062,ms
effective_prefill_concurrency_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,requests
osl_mismatch_diff_pct_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
effective_total_throughput_p99,4195.82,745.05,3669.00,4722.65,0.1776,526.8270,-2498.15,10889.80,12.7062,tokens/sec
inter_token_latency_sum,8702.09,17.94,8689.40,8714.77,0.0021,12.6853,8540.91,8863.27,12.7062,ms
time_to_first_output_token_max,84572.14,1955.21,83189.60,85954.68,0.0231,1382.5407,67005.29,102138.98,12.7062,ms
http_req_total_p1,96227.01,1027.65,95500.35,96953.67,0.0107,726.6596,86993.92,105460.10,12.7062,ms
osl_mismatch_diff_pct_avg,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,%
http_req_receiving_sum,4446767.80,9167.35,4440285.51,4453250.10,0.0021,6482.2957,4364402.43,4529133.18,12.7062,ms
effective_decode_throughput_per_user_p50,5.36,0.00,5.36,5.37,0.0008,0.0032,5.32,5.40,12.7062,tokens/sec/user
