metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
http_req_data_received_p1,98.90,11.84,90.53,107.28,0.1197,8.3724,-7.48,205.28,12.7062,KB
output_sequence_length_min,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
reasoning_token_count_avg,1.03,1.45,0.00,2.05,1.4142,1.0255,-12.01,14.06,12.7062,tokens
input_sequence_length_p25,1033.00,0.00,1033.00,1033.00,0.0000,0.0000,1033.00,1033.00,12.7062,tokens
decode_duration_avg,2167.54,0.29,2167.33,2167.74,0.0001,0.2056,2164.93,2170.15,12.7062,ms
active_prefill_throughput_per_user_min,20392.78,5196.83,16718.07,24067.50,0.2548,3674.7141,-26298.89,67084.45,12.7062,tokens/sec/user
http_req_duration_min,2184.73,0.13,2184.63,2184.82,0.0001,0.0954,2183.51,2185.94,12.7062,ms
http_req_connection_reused_avg,0.99,0.00,0.99,0.99,0.0000,0.0000,0.99,0.99,12.7062,ratio
prefill_throughput_per_user_p50,31557.72,545.96,31171.67,31943.77,0.0173,386.0520,26652.47,36462.98,12.7062,tokens/sec/user
inter_chunk_latency_min,0.84,0.20,0.70,0.98,0.2388,0.1417,-0.96,2.64,12.7062,ms
usage_completion_tokens_p75,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
decode_duration_max,2170.91,0.37,2170.64,2171.17,0.0002,0.2610,2167.59,2174.22,12.7062,ms
request_latency_p50,2200.12,0.94,2199.46,2200.78,0.0004,0.6616,2191.71,2208.52,12.7062,ms
http_req_chunks_sent_p99,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
usage_prompt_tokens_p90,1033.00,0.00,1033.00,1033.00,0.0000,0.0000,1033.00,1033.00,12.7062,tokens
http_req_data_received_min,86.08,1.82,84.79,87.37,0.0212,1.2900,69.69,102.47,12.7062,KB
prefill_throughput_per_user_p95,53416.25,867.01,52803.18,54029.32,0.0162,613.0687,45626.48,61206.03,12.7062,tokens/sec/user
output_token_count_p90,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_waiting_p5,19.23,0.31,19.01,19.45,0.0161,0.2193,16.45,22.02,12.7062,ms
http_req_data_sent_p10,4.54,0.00,4.54,4.54,0.0000,0.0000,4.54,4.54,12.7062,KB
active_decode_throughput_per_user_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec/user
output_sequence_length_p90,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_chunks_received_p5,486.90,3.82,484.20,489.60,0.0078,2.7000,452.59,521.21,12.7062,count
time_to_second_token_p25,2.08,0.03,2.06,2.10,0.0121,0.0179,1.85,2.31,12.7062,ms
credit_to_start_latency_p25,1.38,0.02,1.37,1.40,0.0128,0.0125,1.22,1.54,12.7062,ms
effective_total_throughput_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens/sec
decode_duration_p50,2167.61,0.36,2167.36,2167.87,0.0002,0.2516,2164.42,2170.81,12.7062,ms
active_prefill_throughput_per_user_p90,52859.02,1009.42,52145.25,53572.79,0.0191,713.7685,43789.73,61928.31,12.7062,tokens/sec/user
time_to_first_output_token_p1,19.19,0.35,18.94,19.44,0.0183,0.2482,16.04,22.34,12.7062,ms
inter_chunk_latency_p90,4.42,0.00,4.42,4.42,0.0000,0.0001,4.42,4.43,12.7062,ms
