metric,mean,std,min,max,cv,se,ci_low,ci_high,t_critical,unit
http_req_connecting_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
usage_reasoning_tokens_p50,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
active_prefill_throughput_per_user_p99,32541.66,312.87,32320.43,32762.89,0.0096,221.2295,29730.67,35352.64,12.7062,tokens/sec/user
output_token_throughput_per_user_p25,198.21,0.10,198.14,198.29,0.0005,0.0711,197.31,199.12,12.7062,tokens/sec/user
http_req_dns_lookup_avg,0.01,0.00,0.01,0.01,0.0243,0.0002,0.01,0.01,12.7062,ms
e2e_output_token_throughput_p99,198.02,0.09,197.95,198.08,0.0005,0.0648,197.20,198.84,12.7062,tokens/sec/user
usage_total_tokens_p99,1550.00,0.00,1550.00,1550.00,0.0000,0.0000,1550.00,1550.00,12.7062,tokens
usage_reasoning_tokens_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,tokens
effective_latency_p5,2591.71,1.73,2590.49,2592.94,0.0007,1.2254,2576.15,2607.28,12.7062,ms
http_req_duration_p10,2594.32,0.09,2594.26,2594.39,0.0000,0.0660,2593.48,2595.16,12.7062,ms
active_prefill_throughput_std,40035.34,67.53,39987.59,40083.10,0.0017,47.7538,39428.58,40642.11,12.7062,tokens/sec
time_to_first_output_token_sum,20509.65,38.88,20482.16,20537.14,0.0019,27.4932,20160.31,20858.98,12.7062,ms
http_req_total_avg,2616.66,0.48,2616.32,2617.00,0.0002,0.3403,2612.34,2620.99,12.7062,ms
http_req_chunks_sent_max,1.00,0.00,1.00,1.00,0.0000,0.0000,1.00,1.00,12.7062,count
usage_completion_tokens_p90,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_total_p25,2599.13,0.02,2599.12,2599.15,0.0000,0.0165,2598.93,2599.34,12.7062,ms
http_req_waiting_p50,33.36,0.07,33.31,33.40,0.0020,0.0465,32.77,33.95,12.7062,ms
http_req_dns_lookup_min,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
e2e_output_token_throughput_std,2.17,0.46,1.85,2.49,0.2107,0.3230,-1.94,6.27,12.7062,tokens/sec/user
decode_duration_p95,2591.42,2.81,2589.44,2593.41,0.0011,1.9842,2566.21,2616.63,12.7062,ms
effective_decode_concurrency_p90,4.00,0.00,4.00,4.00,0.0000,0.0000,4.00,4.00,12.7062,requests
effective_total_throughput_max,131055.38,1874.84,129729.66,132381.09,0.0143,1325.7143,114210.58,147900.17,12.7062,tokens/sec
nvidia_total_gpu_energy_avg,176825.33,457.75,176501.65,177149.01,0.0026,323.6765,172712.63,180938.03,12.7062,J
prefill_throughput_per_user_max,32891.52,407.61,32603.29,33179.74,0.0124,288.2236,29229.29,36553.74,12.7062,tokens/sec/user
usage_prompt_cache_read_tokens_sum,368640.00,0.00,368640.00,368640.00,0.0000,0.0000,368640.00,368640.00,12.7062,tokens
http_req_data_sent_p95,5.07,0.00,5.07,5.07,0.0000,0.0000,5.07,5.07,12.7062,KB
output_token_count_p95,512.00,0.00,512.00,512.00,0.0000,0.0000,512.00,512.00,12.7062,tokens
http_req_sending_p99,0.17,0.01,0.16,0.17,0.0327,0.0039,0.12,0.22,12.7062,ms
http_req_total_min,2582.82,1.63,2581.66,2583.97,0.0006,1.1555,2568.14,2597.50,12.7062,ms
http_req_connecting_p90,0.00,0.00,0.00,0.00,inf,0.0000,0.00,0.00,12.7062,ms
inter_chunk_latency_p5,4.74,0.00,4.74,4.74,0.0003,0.0011,4.72,4.75,12.7062,ms
